p_id,start_year,season_days_injured,total_days_injured,season_minutes_played,season_matches_in_squad,total_minutes_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,cumulative_minutes_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season
aaronconnolly,2020,71,161,836.0,28,2148.0,2000-01-28,175.33333333333334,75.66666666666667,Republic of Ireland,Medium/Low,72.33333333333333,58.0,63.0,Forward,20,1312.0,54.666666666666664,13.0,24.0,24.613627492084603,2.5,4,0.0,161.0,13.0
aaroncresswell,2018,87,226,1680.0,27,13368.0,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender,29,2247.0,86.42307692307692,95.0,26.0,22.396078801018007,3.5,2,0.0,226.0,95.0
aaroncresswell,2019,35,226,2870.0,31,13368.0,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender,30,3927.0,85.3695652173913,91.0,23.0,22.396078801018007,3.5,2,0.0,452.0,87.0
aaroncresswell,2020,9,226,3342.0,36,13368.0,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender,31,6797.0,88.27272727272727,72.33333333333333,25.666666666666668,22.396078801018007,3.5,2,0.0,678.0,35.0
aaronlennon,2018,166,199,1279.0,16,4371.0,1987-04-16,165.0,63.0,England,High/High,81.8,59.2,75.8,Midfielder,31,1996.0,68.82758620689656,33.0,29.0,23.140495867768596,4.0,3,0.0,199.0,33.0
aaronmooy,2018,89,130,2467.0,29,7942.0,1990-09-15,173.83333333333334,72.83333333333333,Australia,Medium/Medium,65.66666666666667,73.5,75.83333333333333,Midfielder,28,3226.0,89.61111111111111,26.0,36.0,24.102609829121494,3.0,3,0.0,130.0,26.0
aaronmooy,2019,15,130,2249.0,36,7942.0,1990-09-15,173.83333333333334,72.83333333333333,Australia,Medium/Medium,65.66666666666667,73.5,75.83333333333333,Midfielder,29,5693.0,87.58461538461539,57.5,32.5,24.102609829121494,3.0,3,0.0,260.0,89.0
aaronramsey,2016,122,436,1329.0,24,4692.0,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,26,1329.0,57.78260869565217,122.0,23.0,22.587833094227893,4.0,3,1.0,436.0,122.0
aaronramsey,2017,44,436,1945.0,24,4692.0,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,27,2658.0,57.78260869565217,122.0,23.0,22.587833094227893,4.0,3,1.0,872.0,122.0
aaronramsey,2017,44,436,1945.0,24,4692.0,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,27,4603.0,65.75714285714285,96.0,23.333333333333332,22.587833094227893,4.0,3,0.0,1308.0,44.0
aaronramsey,2018,157,436,1418.0,31,4692.0,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,28,6548.0,69.65957446808511,83.0,23.5,22.587833094227893,4.0,3,0.0,1744.0,44.0
aaronramsey,2018,157,436,1418.0,31,4692.0,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,28,7966.0,65.29508196721312,97.8,24.4,22.587833094227893,4.0,3,1.0,2180.0,157.0
adamlallana,2017,160,413,285.0,14,5339.0,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,29,2425.0,78.2258064516129,63.0,31.0,23.836734693877553,4.0,3,0.0,413.0,63.0
adamlallana,2018,142,413,505.0,24,5339.0,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,30,2710.0,63.02325581395349,111.5,21.5,23.836734693877553,4.0,3,1.0,826.0,160.0
adamlallana,2020,48,413,1693.0,31,5339.0,1988-05-10,175.0,73.0,England,High/High,70.5,68.83333333333333,80.16666666666667,Midfielder,32,3215.0,57.410714285714285,121.66666666666669,18.666666666666668,23.836734693877553,4.0,3,1.0,1239.0,142.0
adamsmith_1992,2017,49,270,2194.0,28,9828.0,1992-11-23,186.4,70.0,England,Medium/Medium,71.75,61.75,62.6,Goalkeeper,25,6582.0,81.25925925925925,49.0,27.0,20.146806903792665,3.0,1,0.0,810.0,49.0
adamsmith_1991,2018,107,270,2200.0,25,9828.0,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Defender,27,8776.0,81.25925925925925,49.0,27.0,24.382716049382715,3.5,2,0.0,1080.0,49.0
adamsmith_1992,2018,107,270,2200.0,25,9828.0,1992-11-23,186.4,70.0,England,Medium/Medium,71.75,61.75,62.6,Goalkeeper,26,15376.0,84.02185792349727,73.85714285714286,26.142857142857142,20.146806903792665,3.0,1,0.0,1890.0,107.0
adamsmith_1991,2019,93,270,2155.0,24,9828.0,1991-04-29,180.0,79.0,England,High/Medium,74.0,67.83333333333333,73.33333333333333,Defender,28,17576.0,84.5,78.0,26.0,24.382716049382715,3.5,2,0.0,2160.0,107.0
adamsmith_1992,2019,93,270,2155.0,24,9828.0,1992-11-23,186.4,70.0,England,Medium/Medium,71.75,61.75,62.6,Goalkeeper,27,24041.0,85.86071428571428,82.0909090909091,25.454545454545453,20.146806903792665,3.0,1,0.0,2970.0,93.0
adamwebster,2020,16,489,2735.0,31,5550.0,1995-01-04,190.0,75.0,England,Medium/Medium,66.0,70.83333333333333,70.0,Defender,25,2815.0,90.80645161290325,31.0,31.0,20.775623268698062,3.0,2,0.0,489.0,31.0
ademolalookman,2020,8,105,2872.0,34,4069.0,1997-10-20,174.0,76.6,England,High/Medium,82.6,58.8,69.4,Forward,23,701.0,33.38095238095238,78.0,21.0,25.30056810675122,3.5,4,0.0,105.0,78.0
aleksandarmitrovic,2020,17,96,1520.0,30,5095.0,1994-09-16,188.33333333333331,84.66666666666667,Serbia,Medium/Medium,61.66666666666666,80.83333333333333,76.33333333333333,Forward,26,119.0,19.833333333333332,41.0,6.0,23.870310909233307,3.0,4,0.0,96.0,41.0
alexandrelacazette,2018,19,151,2635.0,37,8906.0,1991-05-28,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward,27,2291.0,71.59375,44.0,32.0,24.008669193672652,4.0,4,0.0,151.0,44.0
alexandrelacazette,2019,48,151,1965.0,34,8906.0,1991-05-28,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward,28,4926.0,73.5223880597015,31.5,33.5,24.008669193672652,4.0,4,0.0,302.0,19.0
alexandrelacazette,2020,1,151,2015.0,36,8906.0,1991-05-28,175.16666666666666,73.66666666666667,France,High/High,83.16666666666667,74.5,84.5,Forward,29,6891.0,71.04123711340206,37.0,32.333333333333336,24.008669193672652,4.0,4,0.0,453.0,48.0
alexiwobi,2018,1,63,2072.0,36,8771.0,1996-05-03,181.0,73.5,Nigeria,Medium/Medium,77.83333333333333,63.833333333333336,71.83333333333333,Forward,22,1522.0,58.53846153846154,27.0,26.0,22.435212600347977,3.0,4,0.0,63.0,27.0
alexiwobi,2019,35,63,1657.0,30,8771.0,1996-05-03,181.0,73.5,Nigeria,Medium/Medium,77.83333333333333,63.833333333333336,71.83333333333333,Forward,23,3594.0,58.91803278688525,14.0,30.5,22.435212600347977,3.0,4,0.0,126.0,1.0
alexmccarthy,2019,9,368,2660.0,36,9595.0,1989-12-03,193.0,79.0,England,Medium/Medium,72.8,53.0,76.0,Goalkeeper,30,2375.0,95.0,171.5,12.5,21.20862305028323,3.0,1,0.0,736.0,52.0
alexmccarthy,2020,16,368,2850.0,37,9595.0,1989-12-03,193.0,79.0,England,Medium/Medium,72.8,53.0,76.0,Goalkeeper,31,5035.0,95.0,117.33333333333331,17.666666666666668,21.20862305028323,3.0,1,0.0,1104.0,9.0
alexpritchard,2018,16,191,2173.0,37,3261.0,1993-05-03,171.0,62.0,England,High/Medium,70.83333333333333,51.0,72.5,Midfielder,25,1088.0,77.71428571428571,132.0,14.0,21.20310522895934,3.5,3,1.0,191.0,132.0
alirezajahanbakhsh,2019,31,201,339.0,19,2008.0,1993-08-11,180.0,77.0,Iran,High/High,82.16666666666667,70.16666666666667,74.33333333333333,Forward,26,1075.0,56.578947368421055,68.0,19.0,23.76543209876543,4.0,4,0.0,201.0,68.0
alirezajahanbakhsh,2020,78,201,594.0,27,2008.0,1993-08-11,180.0,77.0,Iran,High/High,82.16666666666667,70.16666666666667,74.33333333333333,Forward,27,1414.0,48.758620689655174,49.5,14.5,23.76543209876543,4.0,4,0.0,402.0,31.0
