p_id2,start_year,season_days_injured,total_days_injured,season_minutes_played,season_games_played,season_matches_in_squad,total_minutes_played,total_games_played,dob,height_cm,weight_kg,nationality,work_rate,pace,physic,fifa_rating,position,age,cumulative_minutes_played,cumulative_games_played,minutes_per_game_prev_seasons,avg_days_injured_prev_seasons,avg_games_per_season_prev_seasons,bmi,work_rate_numeric,position_numeric,significant_injury_prev_season,cumulative_days_injured,season_days_injured_prev_season
aaronconnolly,2019,13,161,1312.0,24,28,2148.0,41,2000-01-28,175.33333333333334,75.66666666666667,Republic of Ireland,Medium/Low,72.33333333333333,58.0,63.0,Forward,19,,,,,,24.613627492084603,2.5,2.0,,,
aaronconnolly,2020,71,161,836.0,17,28,2148.0,41,2000-01-28,175.33333333333334,75.66666666666667,Republic of Ireland,Medium/Low,72.33333333333333,58.0,63.0,Forward,20,1312.0,24.0,54.666666666666664,13.0,24.0,24.613627492084603,2.5,2.0,0.0,161.0,13.0
aaroncresswell,2016,95,226,2247.0,26,27,13368.0,149,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender,27,,,,,,22.396078801018007,3.5,1.0,,,
aaroncresswell,2018,87,226,1680.0,20,27,13368.0,149,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender,29,2247.0,26.0,86.42307692307692,95.0,26.0,22.396078801018007,3.5,1.0,0.0,226.0,95.0
aaroncresswell,2019,35,226,2870.0,31,31,13368.0,149,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender,30,3927.0,46.0,85.3695652173913,91.0,23.0,22.396078801018007,3.5,1.0,0.0,452.0,87.0
aaroncresswell,2020,9,226,3342.0,36,36,13368.0,149,1989-12-15,171.66666666666666,66.0,England,High/Medium,74.33333333333333,67.0,75.33333333333333,Defender,31,6797.0,77.0,88.27272727272727,72.33333333333333,25.666666666666668,22.396078801018007,3.5,1.0,0.0,678.0,35.0
aaronlennon,2017,33,199,1996.0,29,29,4371.0,72,1987-04-16,165.0,63.0,England,High/High,81.8,59.2,75.8,Midfielder,30,,,,,,23.140495867768596,4.0,3.0,,,
aaronlennon,2018,166,199,1279.0,16,16,4371.0,72,1987-04-16,165.0,63.0,England,High/High,81.8,59.2,75.8,Midfielder,31,1996.0,29.0,68.82758620689656,33.0,29.0,23.140495867768596,4.0,3.0,0.0,199.0,33.0
aaronmooy,2017,26,130,3226.0,36,36,7942.0,96,1990-09-15,173.83333333333334,72.83333333333333,Australia,Medium/Medium,65.66666666666667,73.5,75.83333333333333,Midfielder,27,,,,,,24.102609829121498,3.0,3.0,,,
aaronmooy,2018,89,130,2467.0,29,29,7942.0,96,1990-09-15,173.83333333333334,72.83333333333333,Australia,Medium/Medium,65.66666666666667,73.5,75.83333333333333,Midfielder,28,3226.0,36.0,89.61111111111111,26.0,36.0,24.102609829121498,3.0,3.0,0.0,130.0,26.0
aaronmooy,2019,15,130,2249.0,31,36,7942.0,96,1990-09-15,173.83333333333334,72.83333333333333,Australia,Medium/Medium,65.66666666666667,73.5,75.83333333333333,Midfielder,29,5693.0,65.0,87.58461538461539,57.5,32.5,24.102609829121498,3.0,3.0,0.0,260.0,89.0
aaronramsdale,2019,11,11,3515.0,37,37,7125.0,75,1998-05-14,188.0,77.0,England,Medium/Medium,,,65.0,Goalkeeper,21,,,,,,21.785875961973744,3.0,0.0,,,
aaronramsey,2016,122,436,1329.0,23,24,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,26,,,,,,22.587833094227893,4.0,3.0,,,
aaronramsey,2016,122,436,1329.0,23,24,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,26,1329.0,23.0,57.78260869565217,122.0,23.0,22.587833094227893,4.0,3.0,1.0,436.0,122.0
aaronramsey,2017,44,436,1945.0,24,24,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,27,2658.0,46.0,57.78260869565217,122.0,23.0,22.587833094227893,4.0,3.0,1.0,872.0,122.0
aaronramsey,2017,44,436,1945.0,24,24,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,27,4603.0,70.0,65.75714285714285,96.0,23.333333333333332,22.587833094227893,4.0,3.0,0.0,1308.0,44.0
aaronramsey,2018,157,436,1418.0,28,31,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,28,6548.0,94.0,69.65957446808511,83.0,23.5,22.587833094227893,4.0,3.0,0.0,1744.0,44.0
aaronramsey,2018,157,436,1418.0,28,31,4692.0,75,1990-12-26,181.0,74.0,Wales,High/High,68.16666666666667,74.66666666666667,82.5,Midfielder,28,7966.0,122.0,65.29508196721312,97.8,24.4,22.587833094227893,4.0,3.0,1.0,2180.0,157.0
abdelhamidsabiri,2018,95,178,48.0,2,2,282.0,7,1996-11-28,186.0,80.0,Germany,Medium/Medium,70.75,64.0,65.0,Midfielder,22,,,,,,23.12406058503873,3.0,3.0,,,
